LGA code,LGA name (a),2022 (no.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41560,Copper Coast,15643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41750,Elliston,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41830,Flinders Ranges,1682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41960,Franklin Harbour,1327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42030,Gawler,26114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42110,Goyder,4143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42250,Grant,8926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42600,Holdfast Bay,38056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42750,Kangaroo Island,5088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43080,Karoonda East Murray,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43220,Kimba,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43360,Kingston (SA),2376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43650,Light,16319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43710,Lower Eyre Peninsula,6097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43790,Loxton Waikerie,11923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44000,Maralinga Tjarutja,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44060,Marion,96667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44210,Mid Murray,9415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44340,Mitcham,68370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44550,Mount Barker,41083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44620,Mount Gambier,27744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44830,Mount Remarkable,2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45040,Murray Bridge,22538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45090,Naracoorte Lucindale,8918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45120,Northern Areas,4662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45290,Norwood Payneham and St Peters,38019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45340,Onkaparinga,178526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45400,Orroroo Carrieton,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45540,Peterborough,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45680,Playford,103401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45890,Port Adelaide Enfield,135822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46090,Port Augusta,14449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46300,Port Lincoln,14953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46450,Port Pirie,17616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46510,Prospect,22750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46670,Renmark Paringa,10036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46860,Robe,1588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46970,Roxby Downs,4103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47140,Salisbury,147940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47290,Southern Mallee,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47490,Streaky Bay,2257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47630,Tatiara,7037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47700,Tea Tree Gully,102610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47800,Coorong,5574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47910,Tumby Bay,2892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47980,Unley,39092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48050,Victor Harbor,16721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48130,Wakefield,6969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48260,Walkerville,8185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48340,Wattle Range,12178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48410,West Torrens,63115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48540,Whyalla,21887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48640,Wudinna,1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48750,Yankalilla,5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48830,Yorke Peninsula,11916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49399,Unincorporated SA,3024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50080,Albany,40434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50210,Armadale,100849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50250,Ashburton,7843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50280,Augusta Margaret River,17917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50350,Bassendean,16612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50420,Bayswater,72242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50490,Belmont,44364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50560,Beverley,1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50630,Boddington,1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50770,Boyup Brook,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50840,Bridgetown-Greenbushes,5527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50910,Brookton,954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50980,Broome,18368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51080,Broomehill-Tambellup,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51120,Bruce Rock,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51190,Bunbury,34417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51260,Busselton,42931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51310,Cambridge,30160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51330,Canning,99764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51400,Capel,19012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51470,Carnamah,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51540,Carnarvon,5522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51610,Chapman Valley,1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51680,Chittering,6298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51710,Christmas Island,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51750,Claremont,11735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51820,Cockburn,125232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51860,Cocos Islands,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51890,Collie,9153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51960,Coolgardie,3638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52030,Coorow,1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52100,Corrigin,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52170,Cottesloe,8322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52240,Cranbrook,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52310,Cuballing,929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52380,Cue,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52450,Cunderdin,1345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52520,Dalwallinu,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52590,Dandaragan,3577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52660,Dardanup,15376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52730,Denmark,6539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52800,Derby-West Kimberley,8410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52870,Donnybrook-Balingup,6401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52940,Dowerin,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53010,Dumbleyung,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53080,Dundas,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53150,East Fremantle,8071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53220,East Pilbara,10311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53290,Esperance,14501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53360,Exmouth,3315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53430,Fremantle,33788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53570,Gingin,5896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53640,Gnowangerup,1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53710,Goomalling,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53780,Gosnells,133064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53800,Greater Geraldton,41515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53920,Halls Creek,4113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53990,Harvey,30165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54060,Irwin,3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54130,Jerramungup,1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54170,Joondalup,165649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54200,Kalamunda,61294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54280,Kalgoorlie-Boulder,30756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54310,Karratha,23809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54340,Katanning,4237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54410,Kellerberrin,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54480,Kent,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54550,Kojonup,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54620,Kondinin,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54690,Koorda,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54760,Kulin,783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54830,Kwinana,49542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54900,Lake Grace,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54970,Laverton,1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55040,Leonora,1723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55110,Mandurah,95622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55180,Manjimup,9412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55250,Meekatharra,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55320,Melville,107433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55390,Menzies,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55460,Merredin,3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55530,Mingenew,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55600,Moora,2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55670,Morawa,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55740,Mosman Park,9621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55810,Mount Magnet,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55880,Mount Marshall,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55950,Mukinbudin,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56090,Mundaring,40517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56160,Murchison,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56230,Murray,19116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56300,Nannup,1593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56370,Narembeen,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56460,Narrogin,4959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56580,Nedlands,23018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56620,Ngaanyatjarraku,1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56730,Northam,11938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56790,Northampton,3343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56860,Nungarin,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56930,Peppermint Grove,1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57000,Perenjori,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57080,Perth,30580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57140,Pingelly,1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57210,Plantagenet,5587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57280,Port Hedland,17031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57350,Quairading,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57420,Ravensthorpe,2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57490,Rockingham,143754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57630,Sandstone,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57700,Serpentine-Jarrahdale,34795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57770,Shark Bay,1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57840,South Perth,45201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57910,Stirling,236262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57980,Subiaco,18008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58050,Swan,163948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58190,Tammin,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58260,Three Springs,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58330,Toodyay,4814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58400,Trayning,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58470,Upper Gascoyne,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58510,Victoria Park,38756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58540,Victoria Plains,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58570,Vincent,38504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58610,Wagin,1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58680,Wandering,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58760,Wanneroo,221257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58820,Waroona,4401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58890,West Arthur,797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59030,Westonia,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59100,Wickepin,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59170,Williams,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59250,Wiluna,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59310,Wongan-Ballidu,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59320,Woodanilling,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59330,Wyalkatchem,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59340,Wyndham-East Kimberley,8064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59350,Yalgoo,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59360,Yilgarn,1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59370,York,3567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60210,Break O`Day,7010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60410,Brighton,19688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60610,Burnie,20470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60810,Central Coast (Tas.),23342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61010,Central Highlands (Tas.),2586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61210,Circular Head,8368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61410,Clarence,63084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61510,Derwent Valley,11235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61610,Devonport,26935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61810,Dorset,7022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62010,Flinders (Tas.),931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62210,George Town,7267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62410,Glamorgan-Spring Bay,5188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62610,Glenorchy,51012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62810,Hobart,56018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63010,Huon Valley,19215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63210,Kentish,6805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63410,King Island,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63610,Kingborough,40937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63810,Latrobe (Tas.),12921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64010,Launceston,71889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64210,Meander Valley,21354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64610,Northern Midlands,14137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64810,Sorell,17429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65010,Southern Midlands,6887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65210,Tasman,2676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65410,Waratah-Wynyard,14688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65610,West Coast,4351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65810,West Tamar,25931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70200,Alice Springs,28859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70420,Barkly,7212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70540,Belyuen,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70620,Central Desert,4105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70700,Coomalie,1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71000,Darwin,84877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71150,Darwin Waterfront Precinct,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71300,East Arnhem,10108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72200,Katherine,10834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72300,Litchfield,23083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72330,MacDonnell,6627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72800,Palmerston,40467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73600,Roper Gulf,7475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74050,Tiwi Islands,2743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74550,Victoria Daly,3262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74560,Wagait,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74660,West Arnhem,7258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74680,West Daly,3434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79399,Unincorporated NT,7571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89399,Unincorporated ACT,456915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99399,Unincorp. Other Territories,2518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Based on 2024 LGA boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
