LGA code,LGA name (a),2022 (no.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14900,Liverpool,239774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14920,Liverpool Plains,7659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14950,Lockhart,3370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15050,Maitland,93614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15240,Mid-Coast,97227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15270,Mid-Western,25795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15300,Moree Plains,12868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15350,Mosman,28132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15520,Murray River,13014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15560,Murrumbidgee,3566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15650,Muswellbrook,16540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15700,Nambucca Valley,20607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15750,Narrabri,12720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15800,Narrandera,5720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15850,Narromine,6429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15900,Newcastle,171535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15950,North Sydney,69373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15990,Northern Beaches,263340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16100,Oberon,5596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16150,Orange,43964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16200,Parkes,14346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16260,Parramatta,260472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16350,Penrith,220915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16380,Port Macquarie-Hastings,88305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16400,Port Stephens,76669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16490,Queanbeyan-Palerang,64236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16550,Randwick,135750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16610,Richmond Valley,23700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16700,Ryde,131168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16900,Shellharbour,78330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16950,Shoalhaven,109604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17000,Singleton,25093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17040,Snowy Monaro,21823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17080,Snowy Valleys,14936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17100,Strathfield,46250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17150,Sutherland,231845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17200,Sydney,218275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17310,Tamworth,64520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17350,Temora,5995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17400,Tenterfield,6878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17420,The Hills,199269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17550,Tweed,97966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17620,Upper Hunter,14291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17640,Upper Lachlan,8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17650,Uralla,5984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750,Wagga Wagga,68338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17850,Walcha,3010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17900,Walgett,5515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17950,Warren,2578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18020,Warrumbungle,9245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18050,Waverley,69357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18100,Weddin,3614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18200,Wentworth,7596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18250,Willoughby,75508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18350,Wingecarribee,52795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18400,Wollondilly,55801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18450,Wollongong,216444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18500,Woollahra,53525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18710,Yass Valley,17379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19399,Unincorporated NSW,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110,Alpine,13191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260,Ararat,11758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20570,Ballarat,116011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20660,Banyule,127427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20740,Bass Coast,41813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20830,Baw Baw,59277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
