OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Persons who reported having private health insurance (no.) (Data year: 2022),Persons with disability (no.) (Data year: 2018),Persons with disability (%) (Data year: 2018),Persons with profound/severe core activity limitation (no.) (Data year: 2018),Persons with profound/severe core activity limitation (%) (Data year: 2018),Persons with moderate/mild core activity limitation (no.) (Data year: 2018),Persons with moderate/mild core activity limitation (%) (Data year: 2018),Persons who are carers (no.) (Data year: 2018),Persons who are carers (%) (Data year: 2018),Persons aged 15 years and over who are primary carers (no.) (Data year: 2018),Persons aged 15 years and over who are primary carers (%) (Data year: 2018),Persons who are non-primary carers (no.) (Data year: 2018),Persons who are non-primary carers (%) (Data year: 2018),"Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (no.) (Data year: 2018)","Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (%) (Data year: 2018)",Persons with disability who need assistance or have difficulty with personal/health care (no.) (Data year: 2018),Persons with disability who need assistance or have difficulty with personal/health care (%) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (no.) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (%) (Data year: 2018),Persons who have need for assistance with core activities (no.) (Data year: 2021),Persons who have need for assistance with core activities (%) (Data year: 2021),Persons with long-term health condition(s): Arthritis (%) (Data year: 2021),Persons with long-term health condition(s): Asthma (%) (Data year: 2021),Persons with long-term health condition(s): Cancer (including remission) (%) (Data year: 2021),Persons with long-term health condition(s): Dementia (including Alzheimer's) (%) (Data year: 2021),Persons with long-term health condition(s): Diabetes (excluding gestational diabetes) (%) (Data year: 2021),Persons with long-term health condition(s): Heart disease (including heart attack or angina) (%) (Data year: 2021),Persons with long-term health condition(s): Kidney disease (%) (Data year: 2021),Persons with long-term health condition(s): Lung condition (including COPD or emphysema) (%) (Data year: 2021),Persons with long-term health condition(s): Mental health condition (including depression or anxiety) (%) (Data year: 2021),Persons with long-term health condition(s): Stroke (%) (Data year: 2021),Persons with other long-term health condition(s) (%) (Data year: 2021),Persons with no long-term health condition(s) (%) (Data year: 2021),globalid,Shape__Area,Shape__Length
48,13340,Greater Hume Shire,5749.3875,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13340,4601,2653,25.3,629,6,1318,12.6,1756,16.8,428,5.3,1128,10.8,710,8.7,1005,9.6,485,6.1,234,2.8,100,1.2,670,6,10.8,10.1,3.5,0.6,5,4.8,1.2,2.1,8.9,1,7.2,54.5,598dcbc0-49f0-4acb-8bea-c827ea7b0b1b,0.572906561905256,5.60911440413722
49,13450,Griffith,1639.1732,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13450,9630,4441,16.7,1481,5.6,2459,9.3,2695,10.2,934,4.5,1700,6.4,1714,8.2,2306,8.7,918,4.5,532,2.4,228,1,1375,5.1,8,9.3,2.6,0.7,4.6,3.2,0.7,1.5,7.1,0.9,5.8,59.8,eedb9986-89e7-4d10-a20a-36311bda4c16,0.160517455830359,2.32908629240075
50,13550,Gunnedah,4987.0295,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13550,4281,2063,16.6,742,6,1443,11.6,1237,9.9,483,5,730,5.9,843,8.7,1132,9.1,571,6,303,2.9,115,1.1,793,6.1,9.6,9.7,3.1,0.7,5.2,4.5,1.2,2.5,8,1.2,6.6,54.7,8442d4da-a845-4498-ae54-cc19bfa5ce07,0.471213293979872,5.25284674114687
51,13660,Gwydir,9259.6544,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13660,1589,1175,22.2,397,7.5,725,13.7,799,15.1,251,5.9,467,8.8,492,11.6,771,14.6,261,6.2,148,3.7,55,1.4,430,8.8,13.4,9.9,3.8,1.1,6.4,5.1,1.1,3,8.6,2,7.9,50.4,e566d04a-37bc-416f-8e0d-c2542e2fc991,0.862318650460566,6.72311948464304
52,13800,Hawkesbury,2775.1378,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13800,24185,11299,17,3541,5.3,5336,8,7686,11.6,2391,4.5,5100,7.7,4265,8,6684,10.1,2618,5,1540,2.7,660,1.2,3735,5.6,9.1,8.5,3,0.7,4.8,4,1,1.9,9.3,0.8,8.2,59,19a37443-21a0-492f-b1ff-e45e03eb16ee,0.268763594517623,3.91064528679853
53,13850,Hay,11325.9324,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13850,997,637,21.6,191,6.5,378,12.8,458,15.5,122,5.1,267,9.1,213,8.9,269,9.1,135,5.7,75,3.2,28,1.2,180,6.2,10.6,11,3.6,1.2,6.5,5.5,1.3,3,8.6,0.9,5.8,50.1,2105062a-4c76-4e35-bb7c-6ab91e4c4612,1.10932057575519,7.53504312862277
54,13910,Hilltops,7140.8865,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13910,6152,4790,25.9,1159,6.3,2324,12.6,2673,14.4,845,5.7,1485,8,2109,14.3,2658,14.4,1015,7,497,3.4,174,1.2,1368,7.1,13.2,10.5,3.6,1.1,5.9,5,1.3,3.1,9.5,1.3,7.7,52.4,8bdac0c4-217a-4a03-a986-880ade7fd260,0.699703040185341,6.64865134565627
55,14000,Hornsby,455.0374,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14000,74603,17336,11.7,5808,3.9,8892,6,14208,9.6,4157,3.5,9722,6.5,6190,5.2,8350,5.6,4369,3.7,1961,1.6,976,0.8,7020,4.6,6.9,6.9,2.9,0.9,4.1,3.7,0.7,1,6.5,0.7,8.2,65.4,3fb0231a-c4bc-44b0-a0e0-3c6269f35ccd,0.0441932929147697,2.47648848207718
56,14100,Hunters Hill,5.7169,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14100,7270,1555,11.2,500,3.6,783,5.7,1308,9.5,370,3.3,1052,7.6,635,5.7,823,6,432,3.9,191,1.7,86,0.8,635,4.7,7.9,6.5,3.5,0.9,3,4.2,0.6,1.2,5.9,0.8,7.1,63.2,d9062aad-fe42-48d5-b749-ecb63ec39dba,0.000556825960757124,0.218158020571003
57,14170,Inner West,35.2115,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14170,78931,23330,12,7300,3.7,10293,5.3,19260,9.9,4474,2.7,14265,7.3,10054,6.1,12023,6.2,7034,4.3,2688,1.6,1540,0.9,8828,4.8,6.1,8,2.5,0.8,3.4,2.8,0.7,1.1,10.4,0.7,8.5,62.5,7c2d7052-cba5-41ff-8c9f-888e8eb7d684,0.00343160112652185,0.427888136592344
58,14220,Inverell,9404.7564,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14220,4923,3839,21.9,1157,6.6,2322,13.2,2212,12.6,806,5.8,1379,7.9,1606,11.6,2589,14.8,765,5.6,447,3.2,196,1.4,1245,7,12,9.5,3.3,0.8,6.1,5,1,2.7,9,1,7.6,52.6,74830985-330c-433f-b302-ed179d3548f0,0.874347251082327,6.93110388599034
59,14300,Junee,2030.0222,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14300,1873,1256,22.6,337,6.1,677,12.2,800,14.4,232,5.3,468,8.4,459,10.5,536,9.6,324,7.5,138,3,56,1.2,394,6.1,12.5,10.4,3.2,0.7,5.7,4.2,0.9,2.8,8,1.1,6.2,45.4,45dbfe13-85f7-43a9-8f71-2270fc4ff4f9,0.200008070623426,2.62956172320451
60,14350,Kempsey,3375.6704,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14350,6773,7817,27.3,2838,9.9,4464,15.6,4177,14.6,1797,7.7,2659,9.3,3751,16.1,4976,17.4,1970,8.6,1370,6.3,294,1.3,2920,9.5,14.1,9.9,4.2,1.2,6.4,6,1.6,3.8,11.4,1.8,9.1,47,8d697553-719a-4da2-8593-ec7fd5655658,0.318647794534172,3.9170003371841
61,14400,Kiama,257.6638,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14400,9861,4269,18.8,1326,5.8,2402,10.6,3083,13.6,918,4.9,1953,8.6,1783,9.5,2110,9.3,1135,6.1,396,2.3,118,0.7,1221,5.3,11.7,8.2,4.2,1.1,4.1,5.2,1.2,1.8,8,1.1,8.8,57,0b1edf05-689e-4771-afc9-daecc632b793,0.0253445705216109,1.04249388796734
62,14500,Ku-ring-gai,85.4093,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14500,70028,13831,11.2,4272,3.4,6754,5.4,9598,7.7,3007,3,5917,4.8,4398,4.5,5806,4.7,3390,3.5,1631,1.6,621,0.6,4834,3.9,6.3,6.4,3.2,0.9,3.2,3.9,0.6,0.9,5.1,0.7,7.5,68.3,e7228788-ac38-451b-a2ae-a9f6f791b4fe,0.00830912434048514,0.503529273526948
63,14550,Kyogle,3584.1829,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14550,2433,2609,29.5,655,7.4,1288,14.6,1437,16.3,534,7.3,928,10.5,1027,14,1248,14.1,525,7.2,320,4.7,92,1.4,697,7.4,12.5,9,3.4,0.9,5,5.4,1.5,3.5,10.2,1.3,9.7,50.4,9a4ef83f-0f07-438f-acae-d0bbfaa0506a,0.330688510678101,4.01329578306307
64,14600,Lachlan,14968.2539,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14600,2050,1304,21.1,414,6.7,789,12.8,1006,16.3,241,5.1,646,10.4,455,9.6,564,9.1,374,8,156,3.1,66,1.3,357,5.9,11.4,10.9,2.9,0.9,6.4,4.9,1.3,2.3,7,1.1,5.8,51.8,bf899a7a-27e2-476a-a884-6ecf3be15995,1.44295938592768,8.79108071375323
65,14650,Lake Macquarie,648.6393,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14650,79858,45286,22.4,11582,5.7,23360,11.5,24467,12.1,8922,5.5,17145,8.5,20282,12.4,21299,10.5,10113,6.3,4429,2.7,1610,1,15456,7.2,11.9,10.2,3.7,1.1,5.6,5.5,1.3,2.5,12,1.3,9.3,53.4,8dedfa7f-d456-45dd-ade5-467c6f3625cf,0.0626109197469304,3.0507100054844
66,14700,Lane Cove,10.4789,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14700,21642,4002,10.3,1252,3.2,1776,4.6,3396,8.8,826,2.6,2572,6.6,1662,5.3,1964,5.1,1152,3.7,470,1.4,195,0.6,1083,2.7,5.2,7.1,2.5,0.4,2.5,2.6,0.6,0.9,6.5,0.5,7,68.7,ca556e7b-4e8c-48de-a9f4-4a31fb0cf41e,0.00102051471503728,0.249661060285076
67,14750,Leeton,1167.1876,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14750,3718,2416,22.2,666,6.1,1291,11.9,1629,15,428,5,1100,10.1,973,11.4,1358,12.5,419,5,251,2.8,102,1.1,712,6.2,9.8,11.3,2.6,0.9,5,3.7,1.1,2.5,9.3,0.9,6.9,54.1,40e4f35d-a49f-4dde-8714-6682985fd507,0.114609552845195,2.02801195548355
68,14850,Lismore,1287.7042,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14850,13095,9566,22.1,2910,6.7,4698,10.9,5957,13.8,2170,6.2,3473,8,4014,11.4,4839,11.2,2498,7.2,1331,3.8,466,1.3,3133,7.1,10.1,9.9,3.5,0.7,4.5,4.7,1.2,2.7,12.4,1.3,9.4,52.2,fa078d8e-32fa-498f-a195-36a0d0ed8adf,0.118961620104983,2.50860325077232
69,14870,Lithgow,4512.2561,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14870,6155,5897,28.3,1376,6.6,2993,14.4,3780,18.1,1011,5.9,2799,13.4,2278,13.3,2775,13.3,1456,8.6,556,3.4,196,1.2,1582,7.6,13.9,9.8,3.6,1,6.7,5.5,1.1,3,10.7,1.3,8.4,49.9,1be43718-f2c5-4d27-be53-d8e14bdc8ddd,0.436718444273083,5.07060610131445
70,14900,Liverpool,305.7401,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14900,53653,34616,15.6,13495,6.1,15066,6.8,27181,12.3,7920,4.6,18849,8.5,16803,9.8,20710,9.3,8625,5.1,6215,3.1,2434,1.2,15269,6.5,6.1,6.3,1.7,0.5,5.6,3,0.8,1,5.2,0.8,7.2,65.9,900274c7-ab69-479c-afa2-4a7de3beca24,0.0298133355408936,1.34684359939194
71,14920,Liverpool Plains,5082.2398,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14920,2412,1604,20.6,536,6.9,1039,13.3,1230,15.8,362,5.8,765,9.8,814,13,918,11.8,485,7.8,207,3.4,82,1.3,506,6.7,11.7,9.8,3.2,0.8,6.8,5,1.6,2.6,8.3,1.3,6.6,51,09f5051f-4dfc-4fd1-9022-124de23ec239,0.482733789715439,4.91981403323446
72,14950,Lockhart,2895.8049,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14950,1311,625,19.8,203,6.4,385,12.2,454,14.4,134,5.5,270,8.6,232,9.5,382,12.1,171,7.1,82,3.3,33,1.3,241,7.3,13.7,11.5,3.7,1.6,5,4.9,1.4,3.2,10.2,1.8,8.2,51.8,2d901a09-c364-4a8b-99e8-2e7ea49bd49f,0.28707977176191,2.77637882840767
73,15050,Maitland,391.5089,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15050,33049,18059,21.9,5145,6.2,8608,10.4,13032,15.8,3500,5.5,8655,10.5,5632,8.8,8457,10.2,4035,6.4,2334,3.3,795,1.1,6042,6.7,10.4,11,2.9,0.7,5.5,4.3,1.1,2.1,13.2,1,9,54.6,52c0d1a1-8955-43f2-9a6b-6c6baef077d9,0.0376538113619063,1.21058714700835
74,15240,Mid-Coast,10053.8633,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15240,26654,31347,34.1,8136,8.9,15401,16.8,15266,16.6,5355,7,8630,9.4,10647,13.8,15867,17.3,6791,8.9,3169,4.9,648,1,8714,9,15.8,10.1,4.8,1.6,6.6,6.7,1.8,3.5,11.4,1.8,9,48,96f9070c-59b4-4ea9-89f1-72a2103622a0,0.959687031008798,6.89603504703891
75,15270,Mid-Western Regional,8752.2589,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15270,8431,6107,24.7,1482,6,3104,12.5,3671,14.8,1067,5.5,2467,10,2173,11.1,3053,12.3,1143,5.9,642,3.2,236,1.2,1553,6,10.3,9.2,3,0.7,4.9,4.7,1.1,2.8,9.2,1.1,7.3,55.3,498fb542-c1fa-48b2-aeae-55f27d50f6e6,0.840688114367822,7.04078783743172
76,15300,Moree Plains,17902.7033,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15300,3951,2647,19.9,892,6.7,1446,10.9,1855,14,526,5.2,1297,9.8,1012,9.9,1646,12.4,680,6.8,377,3.3,155,1.4,570,4.5,6.9,8.2,2.3,0.5,4.9,3.5,1,1.9,6.1,0.8,5,50.7,cfb1e7da-7d85-4c39-aa4c-e31e024755b7,1.66173384368813,9.2614047103686
77,15350,Mosman,8.6503,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15350,16675,3492,11.4,962,3.1,1485,4.9,2965,9.7,725,2.9,2050,6.7,1395,5.5,1517,5,956,3.9,300,1.2,161,0.6,993,3.5,6.8,6.7,3.7,0.9,2.2,3.9,0.6,1.1,5.8,0.8,6.5,66.7,89b38e9a-d286-42f0-bfed-31474dd6104b,0.000842540190205909,0.216078495138323
78,15520,Murray River,11863.0162,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15520,3926,2510,20.9,732,6.1,1616,13.5,1398,11.7,497,5.1,974,8.1,1063,10.8,1386,11.6,645,6.7,246,2.8,98,1.1,711,5.5,12.6,9.1,4.2,0.8,5.5,5.3,1.4,2.3,7.9,1.2,6.2,55.2,e6624de4-9e68-43aa-925f-a5cb9ac61fe7,1.17599134405555,11.6945636971545
79,15560,Murrumbidgee,6880.7902,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15560,1485,897,23.3,287,7.5,455,11.8,704,18.3,155,5.1,413,10.7,309,10.2,460,12,151,5,107,3.4,41,1.3,188,5.6,12.4,13.3,3.9,0.3,5.3,4.4,1.2,3.4,7.9,0.9,5.8,51.4,ee057a91-b14a-4305-a9bb-41c139fc5624,0.679012693648019,5.74745522450367
80,15650,Muswellbrook,3404.8841,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15650,5086,3565,22.3,1150,7.2,1699,10.6,2166,13.5,648,5.3,1101,6.9,1056,8.6,1777,11.1,877,7.3,445,3.2,233,1.7,914,5.6,9.7,10.8,2.6,0.6,5.6,4,1.2,2.2,10.6,0.9,7.2,54.2,a7313938-701a-4932-9d50-46fd3dd1a9de,0.326501003967223,3.9922287265927
81,15700,Nambucca Valley,1491.3431,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15700,4872,5051,25.9,1813,9.3,3093,15.9,3038,15.6,1180,7.3,2003,10.3,2526,15.7,2938,15.1,1115,7,714,5,208,1.5,1903,9.3,14.9,9.4,5,1.3,5.9,6.9,1.6,4.8,11.3,1.4,9.4,48.2,0569b2df-1125-4cde-8ff9-a9bd97cf2a13,0.14039768177463,2.06651605240529
82,15750,Narrabri,13014.9937,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15750,4430,2456,18.7,809,6.1,1488,11.3,2417,18.4,522,5.1,1679,12.8,912,9,1361,10.3,587,5.9,339,3.1,136,1.2,764,6,10.3,10.7,3.1,1,5.6,4.7,1.3,2.6,7.4,1.1,6.4,52.3,1735ec5c-e725-4488-8a0f-999bfaeead45,1.2211743282719,6.25964774718152
83,15800,Narrandera,4116.3458,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15800,1687,1354,23.4,408,7,769,13.3,921,15.9,252,5.6,597,10.3,637,14.1,778,13.4,265,5.9,158,3.4,60,1.3,438,7.7,12.1,11.5,3.3,1.2,5.9,5.6,1.5,3.3,8.8,1,8,51.1,6411f685-151b-44af-91b7-f481f67c8eee,0.404575529381418,3.96593262252936
84,15850,Narromine,5261.5165,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15850,2115,1268,19.6,442,6.8,793,12.3,1027,15.9,258,5.2,718,11.1,603,12.1,730,11.3,289,5.9,160,3.1,68,1.3,306,4.8,10.5,9.6,3.3,0.4,5.2,5.3,0.9,2.6,7.3,0.8,5.8,50.9,41b3579b-6e53-4f6b-98e6-2352df119417,0.503371589212747,4.15463659517144
85,15900,Newcastle,186.7255,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15900,65629,31911,19.7,8828,5.5,15418,9.5,18097,11.2,6205,4.6,14739,9.1,16798,12.6,17568,10.9,7616,5.8,3713,2.7,1371,1,10752,6.4,9.4,9.6,2.9,1,4.6,4.2,1.1,1.9,12.5,1,8.9,56.2,a5f8537c-66e6-479b-b498-ddd84e0b7250,0.0179920212463003,1.26906945667676
86,15950,North Sydney,10.491,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15950,38188,6546,8.9,1795,2.4,2850,3.9,5537,7.5,1162,1.8,4256,5.8,2788,4.4,3289,4.5,1944,3.1,673,1.1,391,0.6,1713,2.5,5.6,7.1,2.9,0.4,2.4,3.1,0.6,1,7,0.6,7.1,66.7,4c709b4e-e213-4ea9-bfab-4222198e5ac4,0.00102175803885984,0.265366756765884
87,15990,Northern Beaches,254.2072,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15990,132492,29215,10.9,10004,3.7,15475,5.8,24779,9.2,6248,2.9,17118,6.4,11111,5.2,16003,6,8398,4,3723,1.7,1527,0.7,10154,3.9,6.9,6.8,3.1,0.9,2.9,3.6,0.6,1.1,6.2,0.8,6.7,66.4,6933c887-84e4-4535-8e73-5098660b2366,0.0247185298471777,1.96465093590566
88,16100,Oberon,3625.047,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16100,1720,1215,23.5,307,5.9,634,12.3,689,13.3,222,5.3,402,7.8,447,10.6,533,10.3,247,5.9,126,3.1,47,1.2,308,5.5,10.8,9.1,3.5,0.9,6.4,4.1,0.9,2.4,8,1.3,7,51,d8cc195b-75aa-4f2d-be76-c99f258435a1,0.353273718970286,4.84099775230156
89,16150,Orange,284.2159,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16150,14897,9269,22.5,2928,7.1,4083,9.9,5167,12.5,1584,4.9,3573,8.7,3589,11.2,5517,13.4,2143,6.8,1284,3.7,418,1.2,2706,6.2,9.7,10,2.9,0.8,4.8,4.3,1,2.3,12,1,8.5,55.3,17cc5cd0-6f43-44c5-b855-0bd1609b23f2,0.0275221749275261,0.962256223338688
90,16200,Parkes,5957.6137,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16200,4429,3321,22.7,1025,7,1723,11.8,2424,16.5,610,5.3,1475,10.1,1122,9.7,1798,12.3,671,5.9,408,3.4,151,1.3,1053,7.3,11.3,10.8,3.1,1.2,6,5,1.2,2.5,10.3,1.3,7.4,52.6,dfc78369-6e5e-4a72-b060-1a9ff334c68a,0.574062181253794,4.30285636824612
91,16260,Parramatta,83.8303,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16260,95979,27818,11.3,9208,3.7,13548,5.5,19645,8,7042,3.5,12516,5.1,11287,5.7,16025,6.5,7690,3.9,2968,1.4,1786,0.8,10535,4.1,4.9,5.3,1.9,0.5,4.3,2.8,0.7,0.9,5.1,0.5,6.6,70.2,d71fec76-fce7-4f03-ae3c-cb91a808a3aa,0.00816172499298773,0.569111282032382
92,16350,Penrith,404.7021,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16350,61295,38553,18.7,10717,5.2,15150,7.3,22767,11,7217,4.5,14052,6.8,13208,8.2,22737,11,8165,5.1,4879,2.7,1924,1.1,12041,5.5,7.9,9,2.3,0.5,5.5,3.6,0.9,1.6,8.9,0.8,7.9,59.5,96d1d574-e2ed-4c26-894d-a204bde22140,0.0393861280613237,1.06886935191876
93,16380,Port Macquarie-Hastings,3682.3915,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16380,26796,21174,25.8,5873,7.2,11180,13.6,9704,11.8,3942,5.8,6656,8.1,10990,16.2,11300,13.8,5669,8.5,1926,3.2,528,0.9,7187,8.3,14,9.6,4.6,1.3,5.7,6.1,1.5,3.3,11.3,1.6,9.6,51.5,12c6465b-4937-483d-8646-99c47e582d32,0.349254002596354,3.90729837731064
94,16400,Port Stephens,858.4357,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16400,24888,14733,20.5,4833,6.7,8439,11.7,7876,10.9,3410,5.8,5154,7.2,9101,15.5,9149,12.7,4160,7.2,1746,3.1,662,1.2,5453,7.2,13.6,9.7,4.3,0.9,6.2,5.9,1.4,2.8,11.6,1.3,9.2,51.1,7b61ada4-c1c6-4295-9678-86f5fbdfd893,0.0825711409524956,2.96504079506826
95,16490,Queanbeyan-Palerang Regional,5319.0075,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16490,26416,8825,14.8,2348,3.9,4436,7.4,5927,9.9,1852,3.9,4523,7.6,3803,8,4719,7.9,2111,4.5,1256,2.4,488,0.9,2776,4.4,9,8.9,2.7,0.5,4.3,3.2,1.1,1.6,9.8,0.8,8.7,59.4,d1a95ce6-26ef-43d7-9877-5602c24aba63,0.527897748270334,6.09416448543655
96,16550,Randwick,36.331,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16550,58729,15698,10.4,5202,3.5,6753,4.5,11207,7.4,3089,2.4,7655,5.1,5948,4.6,8586,5.7,4806,3.8,1697,1.3,1097,0.8,5527,4.1,5.9,6.3,2.6,0.8,3.2,3,0.8,1,6.5,0.7,6.7,66.3,dd9decb9-1e2a-4c1e-aeec-a3bc8768be1a,0.00354329425545075,0.472235125384502
97,16610,Richmond Valley,3047.3748,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16610,5957,7814,33.7,2155,9.3,3709,16,3922,16.9,1301,7,2575,11.1,3080,16.5,4094,17.7,1933,10.6,857,4.8,218,1.2,1863,7.9,12.4,10.2,3.9,0.8,6.1,6.3,1.5,3.4,10.8,1.6,8.3,49.2,d5c44960-4e0e-4026-8a24-84d11f99c73f,0.282332100430722,3.43195855772665
98,16700,Ryde,40.4746,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16700,57249,11394,9.1,4234,3.4,5784,4.6,9493,7.5,3111,3,7163,5.7,5133,4.9,5867,4.7,3781,3.6,1306,1.2,818,0.8,6086,4.7,5.4,5.7,2.2,0.6,4,2.9,0.7,0.9,5.7,0.6,7.2,69.2,e3b4fdf0-81ef-4769-b451-a5e5becba182,0.00394040427863729,0.384066746400366
99,16900,Shellharbour,147.4208,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16900,24754,13203,18.5,3895,5.4,6976,9.8,9591,13.4,3108,5.5,5914,8.3,5192,9.1,7542,10.5,3442,6.1,1603,2.7,661,1.1,5392,7.1,11.2,9.2,3.2,0.7,5.6,4.4,1.2,2.3,10.6,1.1,8.6,55.7,ebe1621b-7cf8-434d-9c0f-986bd47661c9,0.0144842867221087,0.998827330962503
100,16950,Shoalhaven,4567.2011,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16950,30766,27225,26.6,7742,7.6,14827,14.5,14269,13.9,5306,6.3,8065,7.9,12975,15.3,16228,15.9,6520,7.8,2872,3.8,823,1.1,8783,8.1,14.7,9,4.5,1.2,6.4,5.9,1.8,3.3,11.3,1.5,9.3,50,365272d7-dafc-46a5-afd5-5e91f0fd86ad,0.451483938212277,5.47172184939002
101,17000,Singleton,4892.7168,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17000,9787,5661,24.2,1209,5.2,2575,11,4062,17.4,931,5.1,2795,12,1690,9.3,2566,11,1132,6.3,610,3,233,1.1,1324,5.4,10,9.1,2.6,0.7,4.6,3.7,0.9,1.9,9.6,0.9,7.6,57.9,1a9c9a79-fd4f-4c55-9aaa-fbb4574670bb,0.470305862475016,4.6607298649095
102,17040,Snowy Monaro Regional,15164.7904,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17040,8567,4670,23,1152,5.7,2198,10.8,2568,12.6,767,4.6,1690,8.3,1664,10,2125,10.5,825,5,478,2.9,161,1,1055,4.9,10.8,8,3.1,0.7,4.2,4.2,0.9,2,8.9,0.9,7.2,56.6,66c11d7f-d632-4660-b6a7-95c740ea8fe2,1.52339233494786,7.74920298418603
103,17080,Snowy Valleys,8958.9215,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17080,5115,3313,23.3,897,6.3,1861,13.1,2236,15.7,614,5.4,1377,9.7,1131,9.9,1463,10.3,712,6.3,343,3.1,132,1.2,909,6.1,12.4,10.5,3.6,0.5,5.4,4.5,1.5,2.9,8.3,1.4,6.4,52.8,26055386-d070-4ed5-9a19-c8290b63af13,0.89256004249637,8.20235160887918
104,17100,Strathfield,14.0008,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17100,16014,4047,9.1,1538,3.4,1739,3.9,3824,8.6,1032,2.7,3208,7.2,1821,4.8,2170,4.9,1332,3.6,452,1.1,330,0.8,1951,4.3,4.3,4.3,1.6,0.7,4.3,2.6,0.6,0.6,4,0.6,5.9,72.7,b847e3d9-f0a0-452b-a520-242b8c5166e6,0.00136437859600846,0.207187233798222
105,17150,Sutherland Shire,333.5806,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17150,110437,29893,13.2,9106,4,16077,7.1,23289,10.3,6802,3.7,17106,7.5,10980,6,15674,6.9,7856,4.4,3226,1.7,1392,0.7,10369,4.5,8.7,7.5,3.3,0.9,3.9,4.2,0.9,1.3,7.1,0.9,7.9,63.1,1ea45630-d2f7-4db7-aab4-b24b3c0b2044,0.0325804051822161,2.46696280399544
