OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Persons who reported having private health insurance (no.) (Data year: 2022),Persons with disability (no.) (Data year: 2018),Persons with disability (%) (Data year: 2018),Persons with profound/severe core activity limitation (no.) (Data year: 2018),Persons with profound/severe core activity limitation (%) (Data year: 2018),Persons with moderate/mild core activity limitation (no.) (Data year: 2018),Persons with moderate/mild core activity limitation (%) (Data year: 2018),Persons who are carers (no.) (Data year: 2018),Persons who are carers (%) (Data year: 2018),Persons aged 15 years and over who are primary carers (no.) (Data year: 2018),Persons aged 15 years and over who are primary carers (%) (Data year: 2018),Persons who are non-primary carers (no.) (Data year: 2018),Persons who are non-primary carers (%) (Data year: 2018),"Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (no.) (Data year: 2018)","Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (%) (Data year: 2018)",Persons with disability who need assistance or have difficulty with personal/health care (no.) (Data year: 2018),Persons with disability who need assistance or have difficulty with personal/health care (%) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (no.) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (%) (Data year: 2018),Persons who have need for assistance with core activities (no.) (Data year: 2021),Persons who have need for assistance with core activities (%) (Data year: 2021),Persons with long-term health condition(s): Arthritis (%) (Data year: 2021),Persons with long-term health condition(s): Asthma (%) (Data year: 2021),Persons with long-term health condition(s): Cancer (including remission) (%) (Data year: 2021),Persons with long-term health condition(s): Dementia (including Alzheimer's) (%) (Data year: 2021),Persons with long-term health condition(s): Diabetes (excluding gestational diabetes) (%) (Data year: 2021),Persons with long-term health condition(s): Heart disease (including heart attack or angina) (%) (Data year: 2021),Persons with long-term health condition(s): Kidney disease (%) (Data year: 2021),Persons with long-term health condition(s): Lung condition (including COPD or emphysema) (%) (Data year: 2021),Persons with long-term health condition(s): Mental health condition (including depression or anxiety) (%) (Data year: 2021),Persons with long-term health condition(s): Stroke (%) (Data year: 2021),Persons with other long-term health condition(s) (%) (Data year: 2021),Persons with no long-term health condition(s) (%) (Data year: 2021),globalid,Shape__Area,Shape__Length
11,10800,Bland,8557.6536,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10800,2182,1256,21.2,424,7.1,696,11.7,993,16.7,235,5,591,10,453,9.6,776,13.1,287,6.2,166,3.5,55,1.2,292,5.3,12.7,8.7,3.6,0.5,5.5,4.3,1,2.4,6.9,1,5.7,55,0ff3f10d-7899-4765-8bf8-5816aa0e4d22,0.834081970328953,5.65858788765292
12,10850,Blayney,1524.647,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10850,2769,1676,23.1,548,7.5,791,10.9,754,10.4,294,5.1,474,6.5,575,10.1,890,12.3,359,6.4,204,3.4,79,1.3,421,5.6,10.5,10.5,3.7,0.6,5.4,4.5,0.9,2.5,9.5,1,7.5,55,0bc59a13-3a45-43b1-a51b-db50660fb316,0.14809141903379,2.28606621339244
13,10900,Blue Mountains,1431.1442,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10900,29053,17553,22.4,4133,5.3,8396,10.7,12015,15.3,3086,4.8,8977,11.5,5672,8.9,8710,11.1,3056,4.9,1705,2.7,673,1.1,4568,5.8,10.6,9.5,3.8,0.8,4.6,5,1,2.2,11.4,1,10.6,54.9,779f91d5-d958-4f7d-be66-5863aec49b8a,0.139172971469634,3.09787950379781
14,10950,Bogan,14599.8996,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10950,903,405,15.2,153,5.7,248,9.3,309,11.6,92,4.4,198,7.4,136,6.5,229,8.6,125,6,64,2.9,25,1.1,111,4.5,8.8,8.6,3.5,0.5,5.1,4.7,1.2,1.9,6.3,1,4,59.1,52d1e228-42d7-4a58-aae5-5c42d4f0d279,1.38661461573838,7.41067738370892
15,11150,Bourke,41598.3722,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11150,723,,,,,,,,,,,,,,,,,,,,,,,102,4.4,6,8,2,0.9,5.1,4.6,0.9,1.7,6.4,1.1,6.2,51.3,f3fe5fd0-2763-4a88-bafe-e7e19e1b39c7,3.88597290706275,10.6190349265777
16,11200,Brewarrina,19162.0296,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11200,249,,,,,,,,,,,,,,,,,,,,,,,52,3.8,7.1,8.7,1.1,0.9,8.5,5,1.7,1.1,4.5,1.1,2.5,56.8,7a03d27d-af0d-413f-a231-43a554422632,1.78796378978359,9.88993546752901
17,11250,Broken Hill,170.1153,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11250,4728,4456,25.7,1036,6,2709,15.6,2354,13.6,855,6,1865,10.7,1703,11.9,1870,10.8,1024,7.2,452,3.3,158,1.2,1462,8.3,14.2,12.1,3.4,1,8.1,6.1,1.6,3.4,11.8,1.3,8.5,46.4,78db7bf1-0123-46f4-943c-98f9caf2456f,0.0162258192067384,0.610208145840146
18,11300,Burwood,7.1282,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11300,13400,3492,8.9,1442,3.7,1708,4.4,3050,7.8,1029,3,2063,5.3,1901,5.6,2137,5.5,1334,4,392,1.1,268,0.8,2045,5.1,5,4.5,1.9,0.7,4.1,2.8,0.7,0.8,4.7,0.6,6.5,70.4,f464ee5a-25f0-401c-8fc7-3819d943f5d4,0.000694723517881357,0.11916527814494
19,11350,Byron,565.8027,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11350,11510,5732,16.8,1594,4.7,3202,9.4,3328,9.7,1505,5.3,1985,5.8,2604,9.2,3197,9.4,1614,5.8,682,2.4,318,1.1,1490,4.1,6.8,6,2.8,0.5,2,3,0.6,1.8,7.5,0.8,7.1,60.6,f530fff4-de60-42fe-8864-3716c7ccd957,0.0521959776610856,1.5592983893132
20,11400,Cabonne,6022.3496,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11400,5255,2774,20.3,683,5,1548,11.3,2373,17.4,505,4.7,1844,13.5,1003,9.4,1427,10.4,558,5.3,286,2.6,129,1.2,681,4.9,10.5,9,3.5,0.8,4.9,4.5,0.9,2.3,8.9,0.9,6.9,56.5,4837cef2-be7f-49f9-97b1-03e8bf218cf8,0.582059950240364,6.71622612148118
21,11450,Camden,201.5278,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11450,40978,12228,13.1,3604,3.9,5888,6.3,9095,9.8,2748,3.9,6444,6.9,4482,6.4,6878,7.4,2997,4.3,1622,1.9,943,1.1,5530,4.6,6.6,7.8,2.1,0.5,4.1,2.8,0.7,1.1,7.2,0.6,7.3,66.2,bec3e6ae-61bc-49be-8c1c-60c999013671,0.0196679022537865,0.781939032252249
22,11500,Campbelltown (NSW),311.4117,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11500,39000,27900,16.7,8772,5.3,13306,8,20625,12.4,6260,4.8,13968,8.4,12172,9.4,13748,8.2,7431,5.8,4106,2.8,1657,1.1,11184,6.3,8.6,8.5,2.3,0.6,6.6,3.7,1,1.6,7.7,0.9,8.1,60.6,4addf28c-bf76-4dc6-b13f-70d6e860b60c,0.0304183427115277,0.992641695286971
23,11520,Canada Bay,19.9239,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11520,41493,10022,10.6,3343,3.5,4611,4.9,6967,7.4,2065,2.6,5229,5.6,3760,4.8,5394,5.7,2916,3.7,898,1.1,612,0.8,3863,4.3,6.4,5.7,2.7,0.6,3.8,3.3,0.7,0.9,5.3,0.7,7.1,67.7,df33274d-5e3d-48a0-8299-3f0f0af5c13a,0.00194089491333216,0.438232040681325
24,11570,Canterbury-Bankstown,110.2374,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11570,90592,52294,14.1,19556,5.3,25067,6.8,37957,10.3,12976,4.4,26337,7.1,22336,7.6,27849,7.5,15984,5.5,6415,2,3527,1.1,25076,6.8,6.3,5.6,2,0.7,5.6,3.1,0.9,1.1,5.1,0.8,7.2,65.4,6515ffdc-8e03-44f3-b885-197dec5140b6,0.0107476703929024,0.710778006903495
25,11600,Carrathool,18934.4853,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11600,992,636,22.6,197,7,333,11.8,484,17.2,105,4.7,299,10.6,200,8.9,335,11.9,126,5.7,76,3.1,31,1.3,115,4,7.6,9.6,2.6,0.5,4.2,3.4,0.9,2.1,6.2,1,4.8,57.1,8c3497d6-ff66-4ff4-a89a-cfc1891ee7df,1.83949538303705,11.0103988865211
26,11650,Central Coast (NSW),1681.0059,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11650,109042,71277,21.1,20676,6.1,37134,11,39367,11.6,14365,5.3,22449,6.6,27657,10.1,37755,11.2,17911,6.7,7671,2.8,2911,1.1,24360,7,11.5,9.6,3.7,1.1,5.5,5,1.3,2.7,11,1.3,9,54.2,7a0c8f60-c855-4477-816a-610eb63080a6,0.162751102313905,5.26114666875877
27,11700,Central Darling,53492.193,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11700,338,,,,,,,,,,,,,,,,,,,,,,,70,4.1,8.8,7.4,1.8,0.5,6.7,4.8,1.9,2.4,5.5,1.5,4.1,50.9,110a7a23-ed27-4833-a3f9-c5c92b715ce0,5.09757746690866,16.1989595993077
28,11720,Cessnock,1965.1593,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11720,18645,17173,29.9,3801,6.6,8124,14.1,9864,17.2,2778,6.2,7138,12.4,6459,14.4,9614,16.7,3437,7.8,1811,3.7,640,1.3,4952,7.8,11.8,11,3.1,0.8,6,4.9,1.3,2.7,13,1.2,8.8,50.6,ed37c5ab-7c1c-44f9-a2ad-a8c46c207227,0.189449688591139,2.98220593378245
29,11730,Clarence Valley,10428.6804,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11730,13598,11990,23.6,3724,7.3,7256,14.3,6432,12.7,2815,6.7,3939,7.8,6326,15.1,6527,12.9,3544,8.6,1516,4,425,1.1,4580,8.5,14.3,9.4,4.4,1.1,6.1,6.3,1.7,3.6,11.4,1.5,8.8,48.8,c34d5b8f-4470-4bb1-b47d-ed3e88e8115d,0.972005782396081,7.20568439585164
30,11750,Cobar,45575.3512,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11750,1327,1047,22.9,283,6.2,582,12.7,680,14.8,165,4.7,391,8.5,233,6.6,568,12.4,277,8,120,3,48,1.2,180,4.4,8.3,8.8,2.6,1,5.6,4.2,0.8,1.8,6.5,0.8,5.8,53.6,b308813e-6108-4050-a396-5fbca1088e07,4.34373576024973,13.6851359533945
31,11800,Coffs Harbour,1173.7435,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11800,23854,13723,18.2,4507,6,8470,11.2,7394,9.8,3453,5.6,4244,5.6,6859,11.2,7782,10.3,3986,6.6,1824,3,665,1.1,5415,6.9,12.1,8.5,3.8,1,4.5,5.4,1.2,2.9,10.8,1.2,8.7,54.2,ea631835-eb7c-4407-ae1a-85eca9882b96,0.109945439683543,2.55729262331171
32,12000,Coolamon,2430.9037,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12000,1711,924,21.5,282,6.6,549,12.8,631,14.7,187,5.5,374,8.7,371,10.9,525,12.2,245,7.3,106,3.1,43,1.3,324,7.4,12.1,12.3,3.7,0.8,6.2,4.8,1,3.1,9.8,0.9,8.1,53,9363cae4-a3e2-41a9-82c5-12b0572d0711,0.238980517124673,2.75871224696058
33,12150,Coonamble,9916.0535,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12150,1148,1086,27.8,344,8.8,515,13.2,790,20.2,180,5.9,391,10,356,11.7,600,15.4,305,10.2,131,4,50,1.5,261,7,9.6,11.8,3.3,1.1,7,5.2,1.5,2.3,7.9,0.9,5.9,48.9,f2a9325d-0f42-4a15-8d3f-651587837c59,0.935258481154051,5.70290505756261
34,12160,Cootamundra-Gundagai Regional,3981.4172,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12160,3619,3193,28.7,768,6.9,1719,15.5,1607,14.5,525,5.8,975,8.8,1323,14.7,1481,13.3,679,7.6,287,3.4,91,1.1,877,7.7,14.1,10.3,4.6,1.1,7,6.2,1.8,3.4,10,1.6,7.1,50.7,2804a203-d020-402b-be63-973c6e98419b,0.392439130642288,5.27439420054471
35,12350,Cowra,2808.7821,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12350,3571,3676,29.3,902,7.2,1795,14.3,1678,13.4,627,6.2,1078,8.6,1398,13.7,1885,15,766,7.6,350,3.7,117,1.2,1021,8,13.4,9.8,3.9,1.1,6.4,5.1,1.2,3.2,10.7,1.2,8.4,50.6,46d61a70-a1c0-49ec-b777-85068bd5462a,0.273452199880467,4.30511524672205
36,12380,Cumberland,72.7496,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12380,50028,31622,13.4,11647,5,14769,6.3,22758,9.7,7879,4.2,14783,6.3,12838,6.9,18970,8.1,9278,5,4425,2.1,2235,1.1,14036,6,5.2,4.8,1.5,0.5,5.3,2.8,0.7,0.9,4.2,0.6,6.1,68.6,d00d45b3-371a-44d2-b997-515528c0a4e6,0.00708653262609005,0.516181969027185
37,12390,Dubbo Regional,7534.5251,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12390,17262,10079,19.5,2856,5.5,5543,10.7,7179,13.9,1910,4.8,5395,10.5,4409,11,5494,10.6,2370,6,1216,2.8,477,1.1,3271,6,9.9,10.2,2.9,0.8,5.4,4.6,1.2,2.2,9.7,1,7.5,52.9,c28b9001-87a5-4d78-b920-ec011fda377e,0.722387283105036,5.62963636367342
