Age Group,State,Sex,Insured Count,Population,Pct Insured
50–54,NT,Males,3624,8018,45.20
50–54,NT,Females,3795,7830,48.47
55–59,NT,Males,3310,7034,47.06
55–59,NT,Females,3313,6713,49.35
60–64,NT,Males,3091,6066,50.96
60–64,NT,Females,3062,5860,52.25
65–69,NT,Males,2343,4623,50.68
65–69,NT,Females,2246,4358,51.54
70–74,NT,Males,1615,3353,48.17
70–74,NT,Females,1605,3041,52.78
75–79,NT,Males,1009,1994,50.60
75–79,NT,Females,977,1783,54.80
80–84,NT,Males,520,1062,48.96
80–84,NT,Females,466,1067,43.67
85–89,NT,Males,162,371,43.67
85–89,NT,Females,186,449,41.43
90–94,NT,Males,44,135,32.59
90–94,NT,Females,62,210,29.52
95+,NT,Males,7,36,19.44
95+,NT,Females,18,63,28.57
