OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Median equivalised total household income (weekly) ($) (Data year: 2021),Median household income (yearly)
59,14300,Junee,2030.0222,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14300,896,46592
60,14350,Kempsey,3375.6704,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14350,699,36348
61,14400,Kiama,257.6638,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14400,1116,58032
62,14500,Ku-ring-gai,85.4093,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14500,1722,89544
63,14550,Kyogle,3584.1829,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14550,647,33644
64,14600,Lachlan,14968.2539,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14600,784,40768
65,14650,Lake Macquarie,648.6393,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14650,996,51792
66,14700,Lane Cove,10.4789,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14700,1866,97032
67,14750,Leeton,1167.1876,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14750,904,47008
68,14850,Lismore,1287.7042,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14850,854,44408
69,14870,Lithgow,4512.2561,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14870,791,41132
70,14900,Liverpool,305.7401,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14900,964,50128
71,14920,Liverpool Plains,5082.2398,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14920,760,39520
72,14950,Lockhart,2895.8049,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14950,804,41808
73,15050,Maitland,391.5089,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15050,1042,54184
74,15240,Mid-Coast,10053.8633,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15240,704,36608
75,15270,Mid-Western Regional,8752.2589,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15270,937,48724
76,15300,Moree Plains,17902.7033,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15300,981,51012
77,15350,Mosman,8.6503,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15350,1977,102804
78,15520,Murray River,11863.0162,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15520,810,42120
79,15560,Murrumbidgee,6880.7902,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15560,925,48100
80,15650,Muswellbrook,3404.8841,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15650,1025,53300
81,15700,Nambucca Valley,1491.3431,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15700,648,33696
82,15750,Narrabri,13014.9937,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15750,966,50232
83,15800,Narrandera,4116.3458,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15800,777,40404
84,15850,Narromine,5261.5165,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15850,835,43420
85,15900,Newcastle,186.7255,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15900,1127,58604
86,15950,North Sydney,10.491,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15950,1959,101868
87,15990,Northern Beaches,254.2072,https://linked.data.gov.au/dataset/asgsed3/LGA2021/15990,1557,80964
88,16100,Oberon,3625.047,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16100,951,49452
89,16150,Orange,284.2159,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16150,1054,54808
90,16200,Parkes,5957.6137,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16200,873,45396
91,16260,Parramatta,83.8303,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16260,1225,63700
92,16350,Penrith,404.7021,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16350,1104,57408
93,16380,Port Macquarie-Hastings,3682.3915,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16380,822,42744
94,16400,Port Stephens,858.4357,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16400,878,45656
95,16490,Queanbeyan-Palerang Regional,5319.0075,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16490,1447,75244
96,16550,Randwick,36.331,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16550,1524,79248
97,16610,Richmond Valley,3047.3748,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16610,735,38220
98,16700,Ryde,40.4746,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16700,1320,68640
99,16900,Shellharbour,147.4208,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16900,977,50804
100,16950,Shoalhaven,4567.2011,https://linked.data.gov.au/dataset/asgsed3/LGA2021/16950,803,41756
101,17000,Singleton,4892.7168,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17000,1157,60164
102,17040,Snowy Monaro Regional,15164.7904,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17040,1026,53352
103,17080,Snowy Valleys,8958.9215,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17080,854,44408
104,17100,Strathfield,14.0008,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17100,1220,63440
105,17150,Sutherland Shire,333.5806,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17150,1366,71032
106,17200,Sydney,26.6762,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17200,1673,86996
107,17310,Tamworth Regional,9884.3505,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17310,915,47580
108,17350,Temora,2802.0159,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17350,786,40872
109,17400,Tenterfield,7324.3072,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17400,609,31668
110,17420,The Hills Shire,386.1583,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17420,1487,77324
111,17550,Tweed,1307.7853,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17550,835,43420
112,17620,Upper Hunter Shire,8096.0889,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17620,946,49192
113,17640,Upper Lachlan Shire,7127.3957,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17640,939,48828
114,17650,Uralla,3226.5327,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17650,868,45136
115,17750,Wagga Wagga,4824.4888,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17750,1035,53820
116,17850,Walcha,6261.0243,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17850,795,41340
117,17900,Walgett,22308.2528,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17900,679,35308
118,17950,Warren,10753.7672,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17950,881,45812
119,18020,Warrumbungle Shire,12372.12,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18020,694,36088
120,18050,Waverley,9.3506,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18050,1894,98488
121,18100,Weddin,3414.8566,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18100,700,36400
122,18200,Wentworth,26255.9338,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18200,883,45916
123,18250,Willoughby,22.4257,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18250,1653,85956
124,18350,Wingecarribee,2689.3415,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18350,1041,54132
125,18400,Wollondilly,2555.4341,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18400,1167,60684
126,18450,Wollongong,684.3076,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18450,1031,53612
127,18500,Woollahra,12.2584,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18500,2097,109044
128,18710,Yass Valley,3995.017,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18710,1356,70512
129,19399,Unincorporated NSW,93208.9194,https://linked.data.gov.au/dataset/asgsed3/LGA2021/19399,1088,56576
130,19499,No usual address (NSW),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/19499,,0
131,19799,Migratory - Offshore - Shipping (NSW),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/19799,,0
132,20110,Alpine,4788.157,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20110,887,46124
