OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Median equivalised total household income (weekly) ($) (Data year: 2021),Median household income (yearly)
251,34570,Lockhart River,3576.6839,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34570,550,28600
252,34580,Lockyer Valley,2269.0054,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34580,867,45084
253,34590,Logan,958.1333,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34590,940,48880
254,34710,Longreach,40572.2442,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34710,1076,55952
255,34770,Mackay,7613.2963,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34770,1124,58448
256,34800,McKinlay,40736.7989,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34800,1166,60632
257,34830,Mapoon,537.2366,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34830,477,24804
258,34860,Maranoa,58719.3449,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34860,1020,53040
259,34880,Mareeba,53491.0502,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34880,805,41860
260,35010,Moreton Bay,2041.4737,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35010,988,51376
261,35250,Mornington,1247.6932,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35250,379,19708
262,35300,Mount Isa,43715.1975,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35300,1436,74672
263,35600,Murweh,40699.7586,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35600,895,46540
264,35670,Napranum,2004.3468,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35670,454,23608
265,35740,Noosa,869.8657,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35740,938,48776
266,35760,North Burnett,19669.8489,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35760,684,35568
267,35780,Northern Peninsula Area,1052.0676,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35780,684,35568
268,35790,Palm Island,71.9928,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35790,475,24700
269,35800,Paroo,47614.9225,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35800,600,31200
270,36070,Pormpuraaw,4395.3654,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36070,517,26884
271,36150,Quilpie,67414.6563,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36150,1039,54028
272,36250,Redland,537.1672,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36250,1046,54392
273,36300,Richmond,26580.748,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36300,1080,56160
274,36370,Rockhampton,6570.2667,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36370,947,49244
275,36510,Scenic Rim,4243.0014,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36510,866,45032
276,36580,Somerset,5373.4335,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36580,799,41548
277,36630,South Burnett,8381.558,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36630,682,35464
278,36660,Southern Downs,7106.436,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36660,722,37544
279,36720,Sunshine Coast,2253.8522,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36720,983,51116
280,36820,Tablelands,11292.8695,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36820,766,39832
281,36910,Toowoomba,12957.2103,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36910,938,48776
282,36950,Torres,883.7402,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36950,1150,59800
283,36960,Torres Strait Island,490.0453,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36960,517,26884
284,37010,Townsville,3730.8199,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37010,1080,56160
285,37300,Weipa,10.4643,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37300,1813,94276
286,37310,Western Downs,37922.5007,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37310,869,45188
287,37340,Whitsunday,23818.9729,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37340,956,49712
288,37400,Winton,53813.4826,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37400,964,50128
289,37550,Woorabinda,390.5578,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37550,403,20956
290,37570,Wujal Wujal,11.842,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37570,436,22672
291,37600,Yarrabah,158.8381,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37600,476,24752
292,39499,No usual address (Qld),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/39499,,0
293,39799,Migratory - Offshore - Shipping (Qld),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/39799,,0
294,40070,Adelaide,15.5733,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40070,1129,58708
295,40120,Adelaide Hills,794.4957,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40120,1195,62140
296,40150,Adelaide Plains,932.4913,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40150,976,50752
297,40220,Alexandrina,1826.8067,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40220,758,39416
298,40250,Anangu Pitjantjatjara Yunkunytjatjara,102348.117,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40250,484,25168
299,40310,Barossa,893.5424,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40310,950,49400
300,40430,Barunga West,1590.3887,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40430,665,34580
301,40520,Berri Barmera,476.1962,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40520,773,40196
302,40700,Burnside,27.5183,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40700,1296,67392
303,40910,Campbelltown (SA),24.3485,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40910,988,51376
304,41010,Ceduna,5420.3435,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41010,928,48256
305,41060,Charles Sturt,54.7876,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41060,1021,53092
306,41140,Clare and Gilbert Valleys,1892.4466,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41140,865,44980
307,41190,Cleve,5018.8483,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41190,790,41080
308,41330,Coober Pedy,77.6795,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41330,571,29692
309,41560,Copper Coast,772.9149,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41560,676,35152
310,41750,Elliston,6741.9317,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41750,769,39988
311,41830,Flinders Ranges,4070.4827,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41830,736,38272
312,41960,Franklin Harbour,2755.5639,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41960,791,41132
313,42030,Gawler,41.1379,https://linked.data.gov.au/dataset/asgsed3/LGA2021/42030,873,45396
314,42110,Goyder,6715.1418,https://linked.data.gov.au/dataset/asgsed3/LGA2021/42110,626,32552
315,42250,Grant,1897.8235,https://linked.data.gov.au/dataset/asgsed3/LGA2021/42250,993,51636
316,42600,Holdfast Bay,13.752,https://linked.data.gov.au/dataset/asgsed3/LGA2021/42600,1130,58760
317,42750,Kangaroo Island,4400.863,https://linked.data.gov.au/dataset/asgsed3/LGA2021/42750,782,40664
318,43080,Karoonda East Murray,4415.796,https://linked.data.gov.au/dataset/asgsed3/LGA2021/43080,593,30836
319,43220,Kimba,5697.1074,https://linked.data.gov.au/dataset/asgsed3/LGA2021/43220,835,43420
320,43360,Kingston (SA),3339.7952,https://linked.data.gov.au/dataset/asgsed3/LGA2021/43360,814,42328
321,43650,Light,1276.8453,https://linked.data.gov.au/dataset/asgsed3/LGA2021/43650,1014,52728
322,43710,Lower Eyre Peninsula,4721.3922,https://linked.data.gov.au/dataset/asgsed3/LGA2021/43710,969,50388
323,43790,Loxton Waikerie,7763.8714,https://linked.data.gov.au/dataset/asgsed3/LGA2021/43790,781,40612
324,44000,Maralinga Tjarutja,105766.3105,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44000,612,31824
325,44060,Marion,55.6406,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44060,997,51844
326,44210,Mid Murray,6271.6255,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44210,626,32552
327,44340,Mitcham,75.5468,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44340,1208,62816
328,44550,Mount Barker,594.6406,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44550,1056,54912
329,44620,Mount Gambier,33.8938,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44620,831,43212
330,44830,Mount Remarkable,3422.7733,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44830,749,38948
331,45040,Murray Bridge,1831.7597,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45040,723,37596
332,45090,Naracoorte Lucindale,4519.715,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45090,917,47684
333,45120,Northern Areas,2986.1818,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45120,763,39676
334,45290,Norwood Payneham and St Peters,15.1036,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45290,1130,58760
335,45340,Onkaparinga,518.1255,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45340,898,46696
336,45400,Orroroo Carrieton,3321.8239,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45400,706,36712
337,45540,Peterborough,3020.142,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45540,495,25740
338,45680,Playford,345.2038,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45680,777,40404
339,45890,Port Adelaide Enfield,91.7588,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45890,925,48100
340,46090,Port Augusta,1157.9905,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46090,860,44720
341,46300,Port Lincoln,30.3681,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46300,848,44096
342,46450,Port Pirie,1760.7097,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46450,714,37128
343,46510,Prospect,7.7915,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46510,1240,64480
344,46670,Renmark Paringa,916.442,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46670,801,41652
345,46860,Robe,1091.7162,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46860,869,45188
346,46970,Roxby Downs,110.4778,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46970,1969,102388
347,47140,Salisbury,159.8432,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47140,827,43004
348,47290,Southern Mallee,5702.2024,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47290,866,45032
349,47490,Streaky Bay,6222.8591,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47490,759,39468
350,47630,Tatiara,6527.2342,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47630,955,49660
351,47700,Tea Tree Gully,95.2109,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47700,1005,52260
352,47800,Coorong,8833.4339,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47800,721,37492
353,47910,Tumby Bay,2669.0794,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47910,749,38948
354,47980,Unley,14.2703,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47980,1309,68068
355,48050,Victor Harbor,384.6255,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48050,675,35100
356,48130,Wakefield,3468.4879,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48130,746,38792
357,48260,Walkerville,3.53,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48260,1350,70200
358,48340,Wattle Range,3926.2101,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48340,781,40612
359,48410,West Torrens,37.0886,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48410,1038,53976
360,48540,Whyalla,1071.3397,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48540,826,42952
361,48640,Wudinna,5075.2783,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48640,880,45760
362,48750,Yankalilla,751.2577,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48750,704,36608
363,48830,Yorke Peninsula,5899.6397,https://linked.data.gov.au/dataset/asgsed3/LGA2021/48830,657,34164
364,49399,Unincorporated SA,619426.0858,https://linked.data.gov.au/dataset/asgsed3/LGA2021/49399,773,40196
365,49499,No usual address (SA),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/49499,,0
366,49799,Migratory - Offshore - Shipping (SA),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/49799,,0
367,50080,Albany,4308.458,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50080,879,45708
368,50210,Armadale,559.5258,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50210,1040,54080
369,50250,Ashburton,100817.3112,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50250,1858,96616
370,50280,Augusta Margaret River,2122.375,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50280,968,50336
371,50350,Bassendean,10.3449,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50350,1114,57928
372,50420,Bayswater,34.6169,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50420,1130,58760
373,50490,Belmont,39.8246,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50490,1113,57876
374,50560,Beverley,2370.5195,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50560,722,37544
375,50630,Boddington,1904.4791,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50630,1065,55380
376,50770,Boyup Brook,2826.4585,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50770,831,43212
377,50840,Bridgetown-Greenbushes,1337.361,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50840,805,41860
378,50910,Brookton,1601.1532,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50910,795,41340
379,50980,Broome,54401.8236,https://linked.data.gov.au/dataset/asgsed3/LGA2021/50980,1322,68744
380,51080,Broomehill-Tambellup,2609.6612,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51080,932,48464
381,51120,Bruce Rock,2724.6944,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51120,873,45396
382,51190,Bunbury,65.4163,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51190,906,47112
383,51260,Busselton,1454.0509,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51260,949,49348
384,51310,Cambridge,21.9555,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51310,1763,91676
385,51330,Canning,64.8791,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51330,1068,55536
386,51400,Capel,557.8983,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51400,1125,58500
387,51470,Carnamah,2870.9316,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51470,833,43316
388,51540,Carnarvon,46574.705,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51540,957,49764
389,51610,Chapman Valley,3981.3333,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51610,1188,61776
390,51680,Chittering,1219.9032,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51680,1157,60164
391,51710,Christmas Island,136.1356,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51710,1407,73164
392,51750,Claremont,4.9554,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51750,1583,82316
393,51820,Cockburn,167.9415,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51820,1199,62348
394,51860,Cocos Islands,13.7258,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51860,1066,55432
395,51890,Collie,1709.815,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51890,813,42276
396,51960,Coolgardie,30297.6977,https://linked.data.gov.au/dataset/asgsed3/LGA2021/51960,1205,62660
397,52030,Coorow,4189.8721,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52030,700,36400
398,52100,Corrigin,2681.271,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52100,927,48204
399,52170,Cottesloe ,3.8564,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52170,2050,106600
400,52240,Cranbrook,3276.0464,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52240,900,46800
401,52310,Cuballing,1195.3369,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52310,803,41756
402,52380,Cue,13582.1956,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52380,545,28340
403,52450,Cunderdin,1862.4457,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52450,987,51324
404,52520,Dalwallinu,7224.3566,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52520,1180,61360
405,52590,Dandaragan,6711.5721,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52590,881,45812
406,52660,Dardanup,525.8017,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52660,1047,54444
407,52730,Denmark,1859.8487,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52730,769,39988
408,52800,Derby-West Kimberley,119730.9696,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52800,770,40040
409,52870,Donnybrook-Balingup,1559.856,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52870,860,44720
410,52940,Dowerin,1863.0851,https://linked.data.gov.au/dataset/asgsed3/LGA2021/52940,864,44928
411,53010,Dumbleyung,2539.2249,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53010,888,46176
412,53080,Dundas,92886.3668,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53080,646,33592
413,53150,East Fremantle,3.1384,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53150,1471,76492
414,53220,East Pilbara,372295.6721,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53220,1717,89284
415,53290,Esperance,44797.5456,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53290,1002,52104
416,53360,Exmouth,6488.2097,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53360,1212,63024
417,53430,Fremantle,19.2892,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53430,1267,65884
418,53570,Gingin,3208.3585,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53570,858,44616
419,53640,Gnowangerup,4265.0423,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53640,1009,52468
420,53710,Goomalling,1835.4294,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53710,817,42484
421,53780,Gosnells,127.2976,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53780,967,50284
422,53800,Greater Geraldton,9909.0002,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53800,989,51428
423,53920,Halls Creek,133045.9733,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53920,519,26988
424,53990,Harvey,1727.607,https://linked.data.gov.au/dataset/asgsed3/LGA2021/53990,1043,54236
425,54060,Irwin,2369.3298,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54060,801,41652
426,54130,Jerramungup,6511.1803,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54130,929,48308
427,54170,Joondalup,98.942,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54170,1262,65624
428,54200,Kalamunda,324.2958,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54200,1110,57720
429,54280,Kalgoorlie-Boulder,95500.292,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54280,1528,79456
430,54310,Karratha,15238.2934,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54310,1892,98384
431,54340,Katanning,1518.1854,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54340,861,44772
432,54410,Kellerberrin,1915.433,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54410,732,38064
433,54480,Kent,5624.5818,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54480,1143,59436
434,54550,Kojonup,2930.9925,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54550,990,51480
435,54620,Kondinin,7440.8016,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54620,948,49296
436,54690,Koorda,2832.313,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54690,881,45812
437,54760,Kulin,4718.9219,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54760,1184,61568
438,54830,Kwinana,120.0123,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54830,1038,53976
439,54900,Lake Grace,11886.3198,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54900,1113,57876
440,54970,Laverton,179993.971,https://linked.data.gov.au/dataset/asgsed3/LGA2021/54970,547,28444
441,55040,Leonora,31915.0562,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55040,1340,69680
442,55110,Mandurah,174.8968,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55110,834,43368
443,55180,Manjimup,7029.6076,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55180,831,43212
444,55250,Meekatharra,100188.5478,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55250,742,38584
445,55320,Melville,52.8505,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55320,1285,66820
446,55390,Menzies,124115.424,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55390,725,37700
447,55460,Merredin,3293.7824,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55460,934,48568
448,55530,Mingenew,1934.8857,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55530,966,50232
449,55600,Moora,3763.0254,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55600,987,51324
450,55670,Morawa,3510.5929,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55670,944,49088
451,55740,Mosman Park,4.3472,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55740,1433,74516
452,55810,Mount Magnet,13858.1182,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55810,833,43316
453,55880,Mount Marshall,10184.5937,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55880,959,49868
454,55950,Mukinbudin,3426.944,https://linked.data.gov.au/dataset/asgsed3/LGA2021/55950,1009,52468
455,56090,Mundaring,643.2012,https://linked.data.gov.au/dataset/asgsed3/LGA2021/56090,1127,58604
456,56160,Murchison,45046.0922,https://linked.data.gov.au/dataset/asgsed3/LGA2021/56160,1031,53612
457,56230,Murray,1703.4688,https://linked.data.gov.au/dataset/asgsed3/LGA2021/56230,863,44876
458,56300,Nannup,3053.9361,https://linked.data.gov.au/dataset/asgsed3/LGA2021/56300,749,38948
459,56370,Narembeen,3809.0285,https://linked.data.gov.au/dataset/asgsed3/LGA2021/56370,1064,55328
460,56460,Narrogin,1631.3024,https://linked.data.gov.au/dataset/asgsed3/LGA2021/56460,893,46436
461,56580,Nedlands,19.6449,https://linked.data.gov.au/dataset/asgsed3/LGA2021/56580,1821,94692
462,56620,Ngaanyatjarraku,159815.9632,https://linked.data.gov.au/dataset/asgsed3/LGA2021/56620,556,28912
463,56730,Northam,1431.2215,https://linked.data.gov.au/dataset/asgsed3/LGA2021/56730,837,43524
464,56790,Northampton,12543.7142,https://linked.data.gov.au/dataset/asgsed3/LGA2021/56790,763,39676
465,56860,Nungarin,1166.0245,https://linked.data.gov.au/dataset/asgsed3/LGA2021/56860,741,38532
466,56930,Peppermint Grove,1.0677,https://linked.data.gov.au/dataset/asgsed3/LGA2021/56930,2370,123240
467,57000,Perenjori,8301.3551,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57000,1118,58136
468,57080,Perth,13.7335,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57080,1468,76336
469,57140,Pingelly,1294.5721,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57140,686,35672
470,57210,Plantagenet,4876.682,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57210,755,39260
471,57280,Port Hedland,18417.0777,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57280,1845,95940
472,57350,Quairading,2016.9268,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57350,744,38688
473,57420,Ravensthorpe,9841.7504,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57420,1080,56160
474,57490,Rockingham,257.4979,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57490,1051,54652
475,57630,Sandstone,32605.2912,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57630,850,44200
476,57700,Serpentine-Jarrahdale,901.2054,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57700,1174,61048
477,57770,Shark Bay,24201.5491,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57770,894,46488
478,57840,South Perth,19.8114,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57840,1372,71344
479,57910,Stirling,104.7273,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57910,1180,61360
480,57980,Subiaco,5.6182,https://linked.data.gov.au/dataset/asgsed3/LGA2021/57980,1541,80132
481,58050,Swan,1042.9936,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58050,1085,56420
482,58190,Tammin,1101.692,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58190,732,38064
483,58260,Three Springs,2656.6928,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58260,1016,52832
484,58330,Toodyay,1691.6485,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58330,810,42120
485,58400,Trayning,1651.2043,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58400,609,31668
486,58470,Upper Gascoyne,57809.8737,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58470,680,35360
487,58510,Victoria Park,17.9396,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58510,1241,64532
488,58540,Victoria Plains,2551.0132,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58540,1139,59228
489,58570,Vincent,11.3771,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58570,1561,81172
490,58610,Wagin,1946.1763,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58610,836,43472
491,58680,Wandering,1903.8645,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58680,1048,54496
492,58760,Wanneroo,683.2602,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58760,1088,56576
493,58820,Waroona,832.2285,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58820,844,43888
494,58890,West Arthur,2831.8272,https://linked.data.gov.au/dataset/asgsed3/LGA2021/58890,912,47424
495,59030,Westonia,3319.4496,https://linked.data.gov.au/dataset/asgsed3/LGA2021/59030,866,45032
496,59100,Wickepin,2040.8985,https://linked.data.gov.au/dataset/asgsed3/LGA2021/59100,862,44824
497,59170,Williams,2304.7119,https://linked.data.gov.au/dataset/asgsed3/LGA2021/59170,1114,57928
498,59250,Wiluna,181297.3382,https://linked.data.gov.au/dataset/asgsed3/LGA2021/59250,837,43524
499,59310,Wongan-Ballidu,3365.0675,https://linked.data.gov.au/dataset/asgsed3/LGA2021/59310,916,47632
500,59320,Woodanilling,1128.8348,https://linked.data.gov.au/dataset/asgsed3/LGA2021/59320,831,43212
501,59330,Wyalkatchem,1594.4884,https://linked.data.gov.au/dataset/asgsed3/LGA2021/59330,664,34528
502,59340,Wyndham-East Kimberley,112066.3217,https://linked.data.gov.au/dataset/asgsed3/LGA2021/59340,1234,64168
503,59350,Yalgoo,27949.4641,https://linked.data.gov.au/dataset/asgsed3/LGA2021/59350,982,51064
504,59360,Yilgarn,30428.7648,https://linked.data.gov.au/dataset/asgsed3/LGA2021/59360,973,50596
505,59370,York,2131.5916,https://linked.data.gov.au/dataset/asgsed3/LGA2021/59370,759,39468
506,59499,No usual address (WA),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/59499,,0
507,59799,Migratory - Offshore - Shipping (WA),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/59799,,0
508,60210,Break O'Day,3523.8858,https://linked.data.gov.au/dataset/asgsed3/LGA2021/60210,587,30524
509,60410,Brighton,171.1508,https://linked.data.gov.au/dataset/asgsed3/LGA2021/60410,838,43576
